Post_Title,Post_ID,Post_Date,Post_Score,Comment_Text,Comment_ID,Comment_Author,Comment_Score,Comment_Date,Ticker,Ticker_Mentions_In_Comment,Ticker_Mentions_In_Post,Is_Hinglish,Hinglish_Score,VADER_Sentiment,TextBlob_Sentiment,Combined_Sentiment,VADER_Compound,TextBlob_Polarity
"At the end of the year, I got a 46% return this year. How much return did you get this year?",18u86fs,2023-12-30,389,Doubled my money in adani stocks from Jan 2023 to Dec 2023. Exited with all profit as I know it will come down soon. Now roughly I had 1.75L profit on my investment. Investing that now in other stocks and keeping an eye on Adani. It's election year 2024. So it must fall huge to provide Money to Political Parties for elections.,kfnp4z5,MaxGamesOP,2,2023-12-31,ADANIENT.NS,2,0,True,4,Positive,Neutral,bullish,1,0
"I am scared, What should I do?",1is6nkg,2025-02-18,233,"If you knew what you were doing, then you should average them as they break each support level. But if you bought these shares under someone's words, good luck! Adani has no hope though and Ambani has huge ass debt in USD. If I were you, I would take these funds out and put them in GoldBees to recover the losses in 2 years and then leave it there or reinvest in stocks. If things go south as it looks like, you are cooked.",mdh9i6n,Admirable_Trifle8058,1,2025-02-19,ADANIENT.NS,1,0,True,5,Positive,Positive,bullish,1,1
My plan for 2 lakh investment,1jgdmz3,2025-03-21,152,I'd add Tatamotors and Adaniports given that they're selling at low prices and are fundamentally strong stocks.,mjfqaac,serotonallyblindguy,1,2025-03-24,ADANIENT.NS,1,0,True,3,Positive,Positive,bullish,1,1
Buy now or wait ? Tell me experts,1nqtcx5,2025-09-26,139,"Bro, Adani Share Based on News not that Much on Technical But i think This Come Down More Rs126 i think",ngijfuw,WW3Bank,1,2025-09-27,ADANIENT.NS,1,0,True,2,Positive,Positive,bullish,1,1
Rate this portfolio,1gljduv,2024-11-07,140,"Massive! Adani green, when did you buy at 11? Also do you have other portfolios?",lvux2f7,Asleep_Pattern_5728,2,2024-11-07,ADANIENT.NS,1,0,True,2,Neutral,Negative,bearish,0,-1
Rate this portfolio,1gljduv,2024-11-07,140,Bad portfolio never buy stocks of same company if anything happens to Adani all will crash simultaneously,lw0ar2n,Big_Secretary7232,2,2024-11-08,ADANIENT.NS,1,0,True,3,Negative,Negative,bearish,-1,-1
Months of research,1ha8ewx,2024-12-09,118,One 2 stocks boomed from 33 maybe he has cdsl Others are in loss. Share the full portfolio so that we see the research you did. Ya fr adani at dip lol,m183hnd,Additional_Fee8884,3,2024-12-09,ADANIENT.NS,1,0,True,5,Positive,Positive,bullish,1,1
"30 M , can you guys rate my portfolio and how much can i improve here?",1ikn848,2025-02-08,118,itne ache stocks hai Ashok leyland and eicher motors but why do people invest in Adani stocks don't know itne volatile hai phir bhi.,mbnnh0r,satanevil_69,6,2025-02-08,ADANIENT.NS,1,0,True,6,Negative,Neutral,bearish,-1,0
"30 M , can you guys rate my portfolio and how much can i improve here?",1ikn848,2025-02-08,118,"I personally don’t invest in Adani , else looks good",mbnrhe5,[deleted],2,2025-02-08,ADANIENT.NS,1,0,True,2,Positive,Positive,bullish,1,1
"30 M , can you guys rate my portfolio and how much can i improve here?",1ikn848,2025-02-08,118,Sell first two! stay away from adanis … u might ask what’s my background. just check my recent post of portfolio. You’re keeping good control congratulations you’re not among all.,mbo4j9d,Ecstatic_Proposal133,2,2025-02-08,ADANIENT.NS,1,0,True,3,Positive,Positive,bullish,1,1
"30 M , can you guys rate my portfolio and how much can i improve here?",1ikn848,2025-02-08,118,Average out Adani and every other stock in losses of more than 10%,mbohdy3,jagerbomb84,2,2025-02-08,ADANIENT.NS,1,0,True,2,Negative,Neutral,bearish,-1,0
"30 M , can you guys rate my portfolio and how much can i improve here?",1ikn848,2025-02-08,118,"Sorry to say this!! But it seems like the only reason you're up this much is because, only because, you started investing in 2018 and during 2020 crash you obviously bought a lot and that made you a good profit. But now that market is correcting itself you don't know what/where to invest in. Because adani is not a good stock. Anything which is shady or govt backed won't last longer!! Please be careful where you put your money in, in the future. All the best.",mbp23j5,SecretGoal7504,2,2025-02-08,ADANIENT.NS,1,0,True,4,Positive,Neutral,bullish,1,0
"30 M , can you guys rate my portfolio and how much can i improve here?",1ikn848,2025-02-08,118,50% portfolio for adani stock 🙌😂,mbsx1e5,sumitplus97,1,2025-02-09,ADANIENT.NS,1,0,True,2,Neutral,Neutral,neutral,0,0
"30 M , can you guys rate my portfolio and how much can i improve here?",1ikn848,2025-02-08,118,Sell Adani ent and Kalyan Jewellers,mbo5p33,grrrrrrrrg,1,2025-02-08,ADANIENT.NS,1,0,True,2,Neutral,Neutral,neutral,0,0
"30 M , can you guys rate my portfolio and how much can i improve here?",1ikn848,2025-02-08,118,Kinda glad to see everyone sitting on losses on Adani stocks xD,mbod90q,getbetterwithnb,0,2025-02-08,ADANIENT.NS,1,0,True,2,Positive,Positive,bullish,1,1
How Cooked Am I ??,1gw7d7e,2024-11-21,108,Buy adani now and sell waaree no use for real (if for short term profit),ly972sf,Prudent-Yogurt4214,1,2024-11-21,ADANIENT.NS,1,0,True,3,Negative,Neutral,bearish,-1,0
How screwed am I?,1nqx3r1,2025-09-26,106,"I made profits this week , but still tum regaal resources ko long ke liye hold karo and why did you buy bse abhi adani ka case dekhlo news positive and ke baad hi stock bada , wait for positive news for those stock jinke naam kharab hai abhi , then invest . Abhi toh hold karo this till oct first week market gand mardegi hamari .",ngar38g,NewSkill7655,1,2025-09-26,ADANIENT.NS,1,0,True,10,Positive,Positive,bullish,1,1
Rate my portfolio. Started from Jan 25.,1m1xmwz,2025-07-17,108,Portfolio is good Just put a stop-loss in adani stocks Rest are well diversified.,n3l0wmp,sbz__,1,2025-07-17,ADANIENT.NS,1,0,True,4,Positive,Positive,bullish,1,1
Rate my portfolio.. any suggestions?,1h2bord,2024-11-29,76,Bhai in my opinion adani ka mat leh..his companies are already in very dicey situations and they can fall immediately,lzi3l5m,ian07861,4,2024-11-29,ADANIENT.NS,1,0,True,2,Neutral,Positive,bullish,0,1
