Post_Title,Post_ID,Post_Date,Post_Score,Comment_Text,Comment_ID,Comment_Author,Comment_Score,Comment_Date,Ticker,Ticker_Mentions_In_Comment,Ticker_Mentions_In_Post,Is_Hinglish,Hinglish_Score,VADER_Sentiment,TextBlob_Sentiment,Combined_Sentiment,VADER_Compound,TextBlob_Polarity
Sell time? Big win,1ije1ho,2025-02-07,407,"Don't create such concentrated portfolio. Include more stocks into your portfolio. As consumption is the focus of the govt, so you can buy stocks like HUL, Nestle, Zomato, Swiggy, HDFC, etc. Or better if you can't figure out stocks to buy, then go for ETFs like Niftybees, ITBees, Momentum50, SmallCap, etc.",mbetiie,TheoryShort7304,-1,2025-02-07,HDFCBANK.NS,1,0,True,3,Positive,Positive,bullish,1,1
Zerodha's market share is shrinking?,1b2wx2h,2024-02-29,338,"Doesn't really matter. Grow doesn't have serious traders for now. Mostly 18-25 with an avg. Account value of 50k-1lakh. Zerodha has the fat money guys. They pay more brokerage in a year than the avg. Account value of grow. So for now zerodha is a much more lucrative business . Having said that, this 18-25 year will grow up in the next 10 years and obviously can invest more. That's a positive but grow's UI and the whole vibe doesn't give serious broker vibes. I think they will eventually move towards zerodha, angle one, kotak/hdfc securities. The sum of money will grow and the seriousness will also grow.",kspf2qo,tathagatachaudhuri,1,2024-02-29,HDFCBANK.NS,1,0,True,4,Positive,Positive,bullish,1,1
Here's my portfolio: Investing for the long term. Your view on this?,1j1l623,2025-03-02,211,I tried diversifying the sectors. Earlier it was purely banking stocks. Now i will buy HDFC Bank on every dip.,mfkkp9i,thechinmayanand,0,2025-03-02,HDFCBANK.NS,2,0,True,3,Neutral,Positive,bullish,0,1
Rate My Portfolio and Advice ?,1h6eedj,2024-12-04,187,Bhai sharing my number here is not safe soo i am sharing my upid samsunil593-2@okhdfcbank,m0djsgo,[deleted],1,2024-12-04,HDFCBANK.NS,3,0,True,2,Positive,Negative,neutral,1,-1
Want to invest 3 lakhs in stocks. Need help!,1jd9rf2,2025-03-17,120,"I would rather say have just 3-5 stocks with this capital. Split could be 70:30 ( large cap : other cap) or something in that range. Below would be my picks Hdfc, tata power, tata motor, cipla, kpit and zen tech Don’t buy companies which are prone to regulatory scrutiny, public/retail backlash and have shoddy management.",miawfdt,styr05,5,2025-03-18,HDFCBANK.NS,1,0,True,2,Neutral,Neutral,neutral,0,0
Want to invest 3 lakhs in stocks. Need help!,1jd9rf2,2025-03-17,120,"defence sector me invest karo aap aur ek bank hata do , sbi ya hdfc me se",mie26zj,[deleted],2,2025-03-18,HDFCBANK.NS,1,0,True,3,Positive,Neutral,bullish,1,0
Want to invest 3 lakhs in stocks. Need help!,1jd9rf2,2025-03-17,120,"Opinion: I think go all in on HDFC Bank. -One of the best managed Banks in the world (not just India). - Profits have more than doubled in last 4-5 years but share prices have not reciprocated - Deep under valuation in Private Banks - One of the biggest beneficiaries of the India story. If you don’t concentrate your capital, you won’t be able to build wealth. Now to take such large positions you need to have conviction, conviction comes from Knowledge and experience. Experience in understanding business, valuations and market cycles. So yes, HDFC Bank Ltd- all in :)",mi9e0lc,Heisenburg4,-8,2025-03-17,HDFCBANK.NS,4,0,True,4,Positive,Positive,bullish,1,1
Should I hold or sell Swiggy shares? Will it be good if I hold for 1 year?,1hcn796,2024-12-12,114,If you are going for short term sell It will take 4 quarter more for Swiggy to be profitable Iam holding from ipo issue price Rn Swiggy giving best valuation being a loss making you better be stay invested It's not Zomato vs swiggy obv zomato better they both gonna be multibagger it's just a rank 1 and rank 2 just like HDFC and ICICI just a hypothetical example don't go technical every person is now looking Zomato as nifty 50 giant but banta hua Zomato jise ko nahe pasand tha when the company was a t loss and trailing at 70 rs gave first profit quarter and rest we all know how time flies it doesn't matter Swiggy will ever beat Zomato all we are hear for Swiggy could potentially be a multibagger it's just a matter of time e commerce is fastest growing segment you can easily hold for long time today fall in price of Swiggy went -6% was because of anchor investors lock in period end just like Bajaj housing finance fall 5 percent today for the same reason,m1pburz,gautam_2002_,11,2024-12-12,HDFCBANK.NS,1,0,True,5,Positive,Positive,bullish,1,1
How do I fix RED,1lcky6t,2025-06-16,91,"BEPL sell & put in bajaj hsng coal india you may get a chance to get out in future. gd only 4 dividend. HDFCsensex buy in tranches of 10-20 shares whenever sensex tanks by more than 100 points. Lesson : never ever put money in gov psus. always buy pvt banks having ROA>1.4. buy tech shares when sensex crashes. tech, nbfc, pvtbanks,insurance etc r gd. ROE>20 & ROCE> 20 & P/E< 25 these 3 conditions are very gd indicator. make a list & buy in small nos. total no of scripts not more than 15. dnt see charts, youtubes,zeebusiness,cndc,etc.... dnt take advice. start reading. stop tracking your stock daily & hourly. These are the ladders for a successful investing. Never invest that money that you will need in 3-4 years. If you r lazy simply do SIP in paragparikh flexicap fund directly thru their app PPfas. 💞",my3llyz,javacob,1,2025-06-16,HDFCBANK.NS,1,0,True,6,Positive,Neutral,bullish,1,0
I need 50k for my marriage I have below stocks in my portfolio should I sell or kept and buy loan for interest ?,1m25rok,2025-07-17,90,"Sell hdfc , muthoot, mannapuram, itc. You can buy them later they will stay at these prices probably",n4hcf4i,NoNeighborhood9066,1,2025-07-22,HDFCBANK.NS,1,0,True,3,Neutral,Neutral,neutral,0,0
