Post_Title,Post_ID,Post_Date,Post_Score,Comment_Text,Comment_ID,Comment_Author,Comment_Score,Comment_Date,Ticker,Ticker_Mentions_In_Comment,Ticker_Mentions_In_Post,Is_Hinglish,Hinglish_Score,VADER_Sentiment,TextBlob_Sentiment,Combined_Sentiment,VADER_Compound,TextBlob_Polarity
The Masterplan Of Infosys !!,1gsq1jg,2024-11-16,5433,Why the fuck journalism or interviewer not ask these things when He is wining about working hours getting reduced .,lxg8761,channdann,548,2024-11-16,INFY.NS,0,1,True,2,Negative,Negative,bearish,-1,-1
The Masterplan Of Infosys !!,1gsq1jg,2024-11-16,5433,Murthy transferred 240 crores to his toddler grandsons..he wants u to work while make his grandchildren enjoy.the Richie rich lifestyle,lxh4jk4,fool-of-the-wallst,89,2024-11-17,INFY.NS,0,1,True,2,Positive,Positive,bullish,1,1
The Masterplan Of Infosys !!,1gsq1jg,2024-11-16,5433,His whole business is about billing work hours. The only way this meta boomer knows about scaling is by selling more hours per employee.,lxk1ovc,manibk31,3,2024-11-17,INFY.NS,0,1,True,2,Neutral,Positive,bullish,0,1
The Masterplan Of Infosys !!,1gsq1jg,2024-11-16,5433,Dekho hamari gaav mohalle me bolte hai ki Buddha hoke insaan sathiya jata hai ... Toh bss iss bhai ki baaton ko bhi zyada gaur Mt Kiya kro,lxjcgw0,btl679,2,2024-11-17,INFY.NS,0,1,True,5,Neutral,Neutral,neutral,0,0
The Masterplan Of Infosys !!,1gsq1jg,2024-11-16,5433,"Since nobody wants to argue the points I’ll try it. First of all Murthy has not much say in this. He left the company in 2011. For the sake of the argument let’s say he does. The real question is how is Infosys even able to hire graduates at this salary? This happens when there are no jobs in the country. Every large MNCs in India have starting jobs around that range even today and hasn’t changed in the last decade. The only reason Infosys and other companies are still getting away with it is because primarily there are people who are ready to work at those prices and conditions. And that’s because there are way too many engineers(1.5 mil each year) of below average quality because of poor education standards. And there are way too many engineers in IT sector because there are no good quality jobs in any other sectors of the country except IT so everyone does engineering(primarily CS/IT) but even non-IT degree students work in these companies. Too much supply very little demand. Just look at some college placements TCS, Info, Tech Mahindra hiring students in 1000’s as if they are in a Mandi and buying engineers in wholesale. Doesn’t matter what branch you are from. But why is this happening though? I thought the Modi govt created crores of jobs in the last 10 years acc to every BJ Party memeber and their voters? That’s the million dollar question for the BJ Party and their MP/MLA.",lxpcapa,Akihira_579,1,2024-11-18,INFY.NS,2,1,True,4,Positive,Neutral,bullish,1,0
The Masterplan Of Infosys !!,1gsq1jg,2024-11-16,5433,"Ye bhainga chutiya hain, sir sir bolke isko sab ne sir pe chadha ke rakha hain.",lxssat6,rohithexa,1,2024-11-19,INFY.NS,0,1,True,4,Neutral,Neutral,neutral,0,0
The Masterplan Of Infosys !!,1gsq1jg,2024-11-16,5433,"I have huge respect for Narayana Murthy sir , he & his team / friends has created Infosys when in india importing computers needed govt permission . In such adverse situations he has created Infosys hats off to him and team . But will not agree with his work life views . I donot understand why he is giving such speech , best would him is to enjoy his dividend income from Infosys , mentor some young companies to innovate . Such views will make him undesirable and unwelcoming , I have never seen Ratan Tata sir complain about youngsters , he has thoroughly enjoyed their company and supported , invested many young entrepreneurs . This is difference between being great person to good person .",lxiq9yu,Substantial_Way_7893,1,2024-11-17,INFY.NS,3,1,True,3,Positive,Positive,bullish,1,1
The Masterplan Of Infosys !!,1gsq1jg,2024-11-16,5433,"I feel one at an entry level job at Infosys should put in 70 hours of ""work"", if they want to accelerate their career. The time you spend working on yourself will take you to a higher skill tier. Do justice to the project assigned, just a teeny-tiny little more than expectations, enough to keep you from being fired, and get an above-average appraisal. Spend the rest of the time upskilling so that you can negotiate a larger pay at the same job, or switch jobs along with a ""promotion"" in position maybe to a product based company. One needs to work very hard, if they want to generate serious wealth, especially in their 20s and 30s.",lxjsljz,adarshBalak13,1,2024-11-17,INFY.NS,1,1,True,2,Positive,Neutral,bullish,1,0
The Masterplan Of Infosys !!,1gsq1jg,2024-11-16,5433,"I'm in no support for low wages, but the question you should be asking is, why does everyone in India want to have a job and work there. - if the person / individual is capable, there are various other methods to generate higher revenue, speaking in relative terms and currency conversation to Indian rupee. With great skills on Fiver and other places, once can show projects and skills, and generate better income with more healthy balance and work that they enjoy. Now if you were to tell me, the person is not capable of doing that, then not sure who to blame here. In India, every other kid can code and is an engineer, but those are book smart engineers who do not have the skills to do any project. Even in USA / Canada, those engineers would be stuck in entry side jobs with basic debug and data entry in the same of coding and paid just above minimum wage. But after taxes and adjusting for cost of living it's the same story.",lxl1b7k,ManikSahdev,0,2024-11-17,INFY.NS,0,1,True,3,Positive,Positive,bullish,1,1
The Masterplan Of Infosys !!,1gsq1jg,2024-11-16,5433,"Controversial opinion: With the experience and exposure you get through that 3.25Lakh job, you can dream of getting 10x salary in the 4-5 years. Atleast in the beginning of the career, no one should focus on the money they are earning if they are from the tier two college.",lxh064a,SathwikKuncham,-13,2024-11-17,INFY.NS,0,1,True,3,Negative,Positive,neutral,-1,1
