Post_Title,Post_ID,Post_Date,Post_Score,Comment_Text,Comment_ID,Comment_Author,Comment_Score,Comment_Date,Ticker,Ticker_Mentions_In_Comment,Ticker_Mentions_In_Post,Is_Hinglish,Hinglish_Score,VADER_Sentiment,TextBlob_Sentiment,Combined_Sentiment,VADER_Compound,TextBlob_Polarity
Vijay Mallya video is pure PR,1l5eves,2025-06-07,4190,"Raj was brilliant in this podcast, he asked all valid questions, made sure he presented the media rhetoric. The facts are facts inspite of what the media makes it to be. He also asked about using kingfisher private jets for his own use, while under the law , it’s illegal but almost everyone does it. Including people who buy cars on their private limited name and use for their family trips- technically they should also be jailed. Second is banks overblowing kingfishers brand valuation , again if you have ever taken a home loan you will know that they will do two valuations above 1 crore and take the highest of the both. He might not be a saint but definitely not a monster the media made him to be.",mwgmsnb,neurotoxics,1,2025-06-07,RELIANCE.NS,1,0,True,3,Negative,Positive,neutral,-1,1
This will teach Bangladesh a lesson for their actions. 🇮🇳💪,1kplhtc,2025-05-18,3572,"On May 18, 2025, I came across the news that India has put new restrictions on imports from Bangladesh. The Indian government has now blocked the entry of goods worth around $770 million—almost 42% of total imports from Bangladesh—through land ports. This decision came from the Ministry of Commerce and Industry, based on instructions from the Directorate General of Foreign Trade (DGFT). Some of the major Bangladeshi products affected include ready-made garments, processed food, plastic products, cotton waste, and wooden furniture. For instance, garments from Bangladesh, which are worth about $618 million a year, can now only enter India through two seaports—Kolkata and Nhava Sheva in Mumbai. Previously, a large part of this trade happened through land routes, especially through West Bengal and the Northeastern states. Now, those land routes are closed for these goods. Another set of items worth about $153 million, such as flavored drinks and plastic items, are completely banned from being imported via land ports. To understand why India made this move, I looked into the background. Tensions between India and Bangladesh have been rising ever since a temporary government led by Muhammad Yunus took charge in Bangladesh. In recent months, Bangladesh has placed several restrictions on Indian exports. For example, since April 13, 2025, Bangladesh has not allowed yarn imports through land ports. Starting April 15, it also placed restrictions on rice imports from India through important border posts like Hili and Benapole. These trade barriers have frustrated India. Adding to this, Bangladesh has been getting closer to China and Pakistan, which has also annoyed Indian policymakers. This isn’t the first time India has responded to these shifts. Back on April 9, 2025, India withdrew a transshipment facility that it had granted Bangladesh in 2020. That facility had allowed Bangladesh to send goods to the Middle East and Europe through Indian ports and even via Delhi airport. Now, Bangladesh can no longer use that route. It has been limited to landlocked countries like Nepal and Bhutan. These new restrictions are likely to hit Bangladesh hard, especially its garment industry, which is a major part of the country’s economy. I found out that in 2023, Bangladesh exported $38 billion worth of garments globally, and $700 million of that went to India. What’s important is that 93% of these exports to India were made through land routes, which are now restricted. Because of this, exporters in Bangladesh may face higher costs and delays, which could hurt their business. Bangladesh is already the second-largest garment exporter in the world after China, and losing smooth access to the Indian market adds pressure. In terms of overall trade, India and Bangladesh had a total trade of $12.91 billion in FY24. Out of this, India exported $11.07 billion worth of goods to Bangladesh and imported $1.85 billion. This was a drop from the $14.24 billion total trade in 2022–23. The new restrictions could lower the trade volume even more and impact Bangladesh’s economy, which depends heavily on exporting to India. From India’s side, the move appears to be a way to hit back at Bangladesh for its recent trade restrictions and to protect local industries, especially textiles. India has made a few exceptions though. Products like fish, LPG, edible oils, and crushed stone are still allowed to enter through land ports. But overall, India seems to be sending a strong message that it is ready to adjust its trade policies to deal with both economic competition and changing geopolitical relationships. Bangladesh is a competitor in the textile market, and India may be trying to safeguard its own position. After looking at all this, it feels like India’s restrictions are not just about trade but also about asserting its influence in the region. By blocking goods worth $770 million from entering through land ports, India is clearly taking a tough stance. While it’s a move to protect its economy, it also reveals the growing tension between the two countries. If this continues, it could have lasting effects on trade and political relations in South Asia. For this type of more exclusive content and market updates daily 24*7 follow our WhatsApp channel we promise you will never be disappointed",msylowj,[deleted],10,2025-05-18,RELIANCE.NS,3,0,True,4,Positive,Neutral,bullish,1,0
This will teach Bangladesh a lesson for their actions. 🇮🇳💪,1kplhtc,2025-05-18,3572,"Bangladeshi here. You guys scarce realize what a big L this is. Bangladesh exports about $70 billion a year. Exports to India stands at around 1 billion. Only about 1.5% of the total. Indian Import restrictions do not harm the economy and Indian demand is replacable with alternative international demands. India is a net exporter to Bangladesh, primarily in agricultural and livestock products, fertilizers and vehicles. While there's no inport restrictions on Indian goods, none of your exports to us are critical or non fungible. What this cost India is all the goodwill it had left. While Indians often like to pretend that everyone in Bangladesh is on Pakistan's side, or hates India, the reality on the ground is that a non insignificant portion of the population have a positive attitude towards India. Even after sacking the pro India Hasina regime, many would still argue for closer relations with India. But it's hard to argue for pivoting towards India when their government unilaterally, for no real reason, starts a trade war.",mtg8s7t,shadow_irradiant,1,2025-05-21,RELIANCE.NS,1,0,True,3,Negative,Neutral,bearish,-1,0
Bharat Ecosystem 😍,1ibo7z6,2025-01-28,3163,5 trillion ?? Kya fuk raha hai bey?,m9lpqqw,tiash06,69,2025-01-28,RELIANCE.NS,1,0,True,2,Neutral,Neutral,neutral,0,0
Bharat Ecosystem 😍,1ibo7z6,2025-01-28,3163,5 trillion loss ho gaya???,m9lbkbm,heavy_dirty_soul11,7,2025-01-28,RELIANCE.NS,1,0,True,2,Negative,Neutral,bearish,-1,0
Bharat Ecosystem 😍,1ibo7z6,2025-01-28,3163,“wipping out 5 trillions money” ye kya hai bhai,m9n0jd2,YashP1,1,2025-01-28,RELIANCE.NS,1,0,True,3,Neutral,Neutral,neutral,0,0
“I sold my house and invested 97 lakhs at @297 🥲”,1i8satr,2025-01-24,2798,"In next couple of years quick commerce is going to boom like a bang I witnessed lots of reliance smart points and more/vijetha supermarkets are getting closed in hyd due to intense competition from quick commerce <dark stores > If I am not wrong local Kiranastores will wipe out in next 10 years In quick commerce zomato holds ~40 share, i am planning to start investment in zomato Trust me I ordered groceries from quick commerce within 10 min they are delivered and in zepto supersave we are getting products with dmart kind prices I am not interested in food delivery but quick commerce is next big thing once should analyze this trends",m8w5k11,howardROARK93,2,2025-01-24,RELIANCE.NS,2,0,True,5,Positive,Positive,bullish,1,1
Always do your due diligence,1jcf7mb,2025-03-16,2371,Good analysis but zomato is still a good long term bet in my opinion. At what price is an interesting question. Requires projected cash flow analysis using dcf model. I use that. Why i like zomato? Huge market presence. Gives gig jobs to huge unemployed population. Will never run out of riders. Almost every major restaurant in every big city sells on zomato. Z charges huge margins. Eateries cant discontinue zomato after using as it means revenue loss. Zomato has diversified into events and dining. Consumption class of india is gonna increase. Eating out and eating from outside is still a big thing for indians - fast food is semi luxury. Brilliant tech stack. And hyperpure. Gamechanger if executed well. That is gonna scale and bring in good moolah.,mi5f1lo,deedy0110,1,2025-03-17,RELIANCE.NS,1,0,True,6,Positive,Positive,bullish,1,1
"India has emerged as the largest supplier of refined fuel to Europe, surpassing Saudi Arabia, according to a recent report by analytics firm Kpler.",1hxzpc0,2025-01-10,1734,"hamara kya fayda , reliance and govt ke moj hai",m6jeg23,Weak_Instruction869,1,2025-01-11,RELIANCE.NS,2,0,True,2,Neutral,Neutral,neutral,0,0
"India has emerged as the largest supplier of refined fuel to Europe, surpassing Saudi Arabia, according to a recent report by analytics firm Kpler.",1hxzpc0,2025-01-10,1734,The largest exporters of refined fuels to Europe are Reliance Industries and Nayara energy which is a Russian owned private company. Paisa Indians ko nahi mil raha; Ambani aur Russia ko mil raha hai.,m6pyuzk,A_shishh-kebab,1,2025-01-12,RELIANCE.NS,2,0,True,4,Positive,Neutral,bullish,1,0
